"ID_citta","citta_utente","citta","CAP","provincia","regione"
"1","1","Pizzo","89812","VV","Calabria"
"2","2","Napoli","65478","NA","Campania"
"3","3","Roma","00181","RM","Lazio"
"4","4","Roma","00456","RM","Lazio"
"5","5","Milano","56789","MI","Lombardia"
"6","6","Bologna","56789","BO","Emilia-Romagna"
"7","7","Maierato","45679","VV","Calabria"
"8","8","Venezia","53492","VE","Veneto"
"9","9","Torino","45678","TO","Veneto"
"10","10","Firenze","56788","FI","Toscana"
"11","11","Milano","56789","MI","Lombardia"
"12","12","Milano","67899","MI","Lombardia"
"13","13","Roma","45678","RM","Lazio"
"14","14","Torino","67487","TO","Piemonte"
"15","15","Bologna","56787","B0","Emilia-Romagna"
