"ID_data","cod_data","data_t0","data_t1","mese_t0","mese_t1","anno_t0","anno_t1"
"1","1","2020-05-10","2020-07-07","5","7","2020","2020"
"2","2","2020-01-01","2020-02-28","1","2","2020","2020"
"3","3","0020-03-25","2020-05-02","3","5","20","2020"
"4","4","2020-07-18","2020-09-01","7","9","2020","2020"
"5","5","2020-09-10","2020-10-30","9","10","2020","2020"
"6","6","2020-03-10","2020-05-01","3","5","2020","2020"
"7","7","2020-03-04","2020-04-30","3","4","2020","2020"
"8","8","2020-07-01","2020-08-15","7","8","2020","2020"
"9","9","2020-09-04","2020-10-27","9","10","2020","2020"
"10","10","2020-03-20","2020-05-02","3","5","2020","2020"
"11","11","2020-01-01","2020-02-28","1","2","2020","2020"
"12","12","2020-01-15","2020-03-01","1","3","2020","2020"
"13","13","2020-03-11","2020-05-05","3","5","2020","2020"
"14","14","2020-07-05","2020-09-01","7","9","2020","2020"
"15","15","2020-07-15","2020-09-04","7","9","2020","2020"
"16","16","2020-03-10","2020-05-01","3","5","2020","2020"
"17","17","2020-03-04","2020-04-30","3","4","2020","2020"
"18","18","2020-03-20","2020-05-02","3","5","2020","2020"
"19","19","2020-01-01","2020-02-28","1","2","2020","2020"
"20","20","2020-07-18","2020-09-01","7","9","2020","2020"
