"ID_bolletta","ID_citta","ID_utente","ID_data","num_utenti","importo_tot","qta_kW_tot"
"1","1","1","1",NULL,"250.600","1253.000"
"2","2","2","2",NULL,"222.200","1111.000"
"16","2","2","16",NULL,"30.600","1111.000"
"3","3","3","3",NULL,"4914.160","109.000"
"4","4","4","4",NULL,"26.800","52512.000"
"17","4","4","17",NULL,"44.400","52512.000"
"5","5","5","5",NULL,"2087.664","35102.000"
"6","6","6","6",NULL,"21.800","8556.000"
"18","6","6","18",NULL,"61.800","8556.000"
"7","7","7","7",NULL,"12812.928","117.000"
"8","8","8","8",NULL,"8564.888","13745.000"
"19","8","8","19",NULL,"5363.364","13745.000"
"9","9","9","9",NULL,"23.400","20209.000"
"10","10","10","10",NULL,"3329.380","111.000"
"20","10","10","20",NULL,"5431.684","111.000"
"11","11","11","11",NULL,"4930.996","153.000"
"12","12","12","12",NULL,"22.200","222.000"
"13","13","13","13",NULL,"40.200","309.000"
"14","14","14","14",NULL,"5408.748","22261.000"
"15","15","15","15",NULL,"18.000","21981.000"
